timestamp,imu_data
1741258557.0818794,GX:-7.73,GZ:3.93,ACC:1.83
1741258557.1106145,GX:-3.40,GZ:2.23,ACC:2.29
1741258557.1392455,GX:-7.47,GZ:2.15,ACC:1.25
1741258557.167845,GX:-7.85,GZ:3.00,ACC:1.97
1741258557.1925566,GX:-4.44,GZ:1.12,ACC:0.32
1741258557.2212913,GX:2.14,GZ:-0.76,ACC:1.50
1741258557.2499483,GX:1.69,GZ:-2.48,ACC:3.04
1741258557.2785285,GX:-5.42,GZ:-1.37,ACC:3.72
1741258557.3072538,GX:-6.53,GZ:-2.66,ACC:3.49
1741258557.3358703,GX:-1.05,GZ:3.60,ACC:1.91
1741258557.3646517,GX:0.96,GZ:1.35,ACC:1.44
1741258557.3932824,GX:8.60,GZ:-1.08,ACC:4.78
1741258557.4219568,GX:5.50,GZ:-6.57,ACC:4.90
1741258557.4466004,GX:-7.30,GZ:1.89,ACC:6.01
1741258557.4752102,GX:-8.62,GZ:6.11,ACC:6.72
1741258557.5039065,GX:-1.19,GZ:7.66,ACC:5.25
1741258557.5324395,GX:2.95,GZ:4.02,ACC:6.13
1741258557.5611043,GX:-10.09,GZ:6.32,ACC:6.44
1741258557.5899587,GX:-13.17,GZ:4.95,ACC:6.13
1741258557.6183736,GX:-2.71,GZ:3.04,ACC:2.98
1741258557.642976,GX:5.15,GZ:1.01,ACC:2.12
1741258557.6757135,GX:21.14,GZ:-4.06,ACC:5.96
1741258557.7043643,GX:13.70,GZ:-5.37,ACC:4.70
1741258557.7332308,GX:13.60,GZ:2.11,ACC:5.54
1741258557.761736,GX:24.90,GZ:-10.15,ACC:3.35
1741258557.7905924,GX:17.17,GZ:-12.15,ACC:3.51
1741258557.8233294,GX:21.85,GZ:-10.08,ACC:5.64
1741258557.8519368,GX:-1.73,GZ:-11.56,ACC:7.09
1741258557.8807597,GX:-10.27,GZ:-1.15,ACC:4.33
1741258557.909364,GX:-3.31,GZ:-1.58,ACC:3.32
1741258557.9380112,GX:5.51,GZ:-6.89,ACC:6.33
1741258557.9669635,GX:10.96,GZ:-1.77,ACC:5.31
1741258557.9994175,GX:-1.34,GZ:-1.34,ACC:4.15
1741258558.0279467,GX:-11.07,GZ:3.93,ACC:3.15
1741258558.0567791,GX:1.97,GZ:-11.76,ACC:3.98
1741258558.0853112,GX:13.49,GZ:-7.45,ACC:6.91
1741258558.1140437,GX:3.21,GZ:8.24,ACC:6.78
1741258558.1387103,GX:-7.50,GZ:8.37,ACC:5.80
1741258558.1673286,GX:3.43,GZ:8.24,ACC:5.32
1741258558.1959596,GX:9.05,GZ:5.26,ACC:4.54
1741258558.224538,GX:18.45,GZ:-0.29,ACC:4.00
1741258558.253354,GX:13.57,GZ:-1.26,ACC:5.69
1741258558.282015,GX:-1.89,GZ:11.27,ACC:3.56
1741258558.310573,GX:6.10,GZ:1.68,ACC:3.79
1741258558.3392336,GX:16.56,GZ:-5.16,ACC:2.00
1741258558.3679354,GX:31.25,GZ:-12.82,ACC:0.58
1741258558.3965847,GX:16.66,GZ:-6.66,ACC:4.38
1741258558.4252896,GX:9.24,GZ:-0.30,ACC:3.88
1741258558.4540095,GX:13.81,GZ:-4.14,ACC:2.85
1741258558.482729,GX:14.75,GZ:-13.83,ACC:4.13
1741258558.5154712,GX:33.07,GZ:-17.42,ACC:6.84
1741258558.544164,GX:20.47,GZ:-22.57,ACC:10.11
