timestamp,quality,angle,distance
1740572133.3452303,15,105.671875,1240.0
1740572133.3452303,15,107.0,1247.75
1740572133.3452303,15,108.25,1255.5
1740572133.3452303,15,109.59375,1259.75
1740572133.3452303,15,112.265625,1213.25
1740572133.3452303,15,113.625,1224.25
1740572133.3452303,15,115.0,1235.0
1740572133.3452303,15,116.25,1247.5
1740572133.3452303,15,117.625,1262.75
1740572133.3452303,15,118.953125,1276.75
1740572133.3452303,15,120.3125,1292.75
1740572133.3452303,15,121.59375,1309.5
1740572133.3452303,15,122.890625,1325.25
1740572133.3452303,15,124.265625,1344.5
1740572133.3452303,15,125.5625,1367.75
1740572133.3452303,15,126.875,1389.25
1740572133.3452303,15,128.171875,1412.25
1740572133.3452303,15,132.453125,1224.0
1740572133.3452303,15,133.75,1210.0
1740572133.3452303,15,135.15625,1195.0
1740572133.3452303,15,136.46875,1174.25
1740572133.3452303,15,137.859375,1168.75
1740572133.3452303,15,139.1875,1157.0
1740572133.3452303,15,140.59375,1135.0
1740572133.3452303,15,141.953125,1121.75
1740572133.3452303,15,143.265625,1113.25
1740572133.3452303,15,144.53125,1121.75
1740572133.3452303,15,145.890625,1129.0
1740572133.3452303,9,148.625,1150.5
1740572133.3452303,15,151.125,1248.75
1740572133.3452303,15,152.4375,1258.75
1740572133.3452303,15,158.859375,1768.0
1740572133.3452303,15,161.6875,1481.5
1740572133.3452303,15,163.015625,1498.5
1740572133.3452303,15,164.390625,1515.75
1740572133.3452303,15,165.640625,1536.5
1740572133.3452303,15,166.984375,1560.75
1740572133.3452303,15,168.296875,1583.5
1740572133.3452303,15,169.625,1606.75
1740572133.3452303,15,170.984375,1635.5
1740572133.3452303,15,172.34375,1649.25
1740572133.3452303,15,177.453125,2194.5
1740572133.3452303,15,178.8125,2190.25
1740572133.3452303,15,180.140625,2186.0
1740572133.3452303,15,181.453125,2184.5
1740572133.3452303,15,182.828125,2192.75
1740572133.3452303,15,184.125,2188.0
1740572133.3452303,15,185.5,2180.5
1740572133.3452303,15,186.84375,2193.5
1740572133.3452303,15,188.1875,2202.25
1740572133.3452303,15,189.484375,2205.75
1740572133.3452303,15,190.8125,2209.25
1740572133.3452303,15,192.1875,2215.5
1740572133.3452303,15,193.5,2223.5
1740572133.3452303,15,194.84375,2236.5
1740572133.3452303,15,196.171875,2245.25
1740572133.3452303,15,197.546875,2254.0
1740572133.3452303,15,198.859375,2270.0
1740572133.3452303,15,200.171875,2286.75
1740572133.3452303,15,201.546875,2307.5
1740572133.3452303,15,202.90625,2331.25
1740572133.3452303,15,204.234375,2352.75
1740572133.3452303,15,211.234375,422.75
1740572133.3452303,15,212.453125,417.5
1740572133.3452303,15,213.921875,415.0
1740572133.3452303,15,215.1875,411.75
1740572133.3452303,15,216.640625,413.25
1740572133.3452303,15,218.0625,418.25
1740572133.3452303,15,218.953125,422.25
1740572133.3452303,15,220.6875,423.5
1740572133.3452303,15,221.75,426.25
1740572133.3452303,15,223.109375,437.0
1740572133.3452303,15,224.59375,438.75
