x,y,z
506.91072599178705,796.6489680998021,0.0
502.7904884720277,830.1035927533743,0.0
491.6807827437252,951.4678175747815,0.0
446.97933873890065,1244.9405741803641,0.0
411.9333122682231,1240.1235860766985,0.0
381.19065733123176,1240.7649587103044,0.0
337.4064481643092,1306.1232287717514,0.0
304.22264002472394,1298.3338689629827,0.0
270.9726480009335,1292.1431370151536,0.0
239.27524497118958,1291.0136936314725,0.0
209.68867683019116,1287.5367601778225,0.0
177.85550280134507,1280.7093425610983,0.0
149.00495600074336,1273.8146541342726,0.0
118.74186874900464,1269.4586911774618,0.0
88.93621346613091,1266.8821373491328,0.0
58.55526896052878,1262.1424366833405,0.0
30.842188946169987,1256.3714903964546,0.0
2.04817023405649,1251.7483243442719,0.0
-26.22518983737604,1248.7246451552055,0.0
-55.62936455455796,1243.0058070255568,0.0
-106.12335752045934,1158.3990657319198,0.0
-129.9212774272313,1132.0692168201008,0.0
-155.50203486096885,1135.6531951498653,0.0
-183.83190819188533,1140.5298733617328,0.0
-211.10714611668675,1149.526135135025,0.0
-280.06406265811194,1213.0907306576178,0.0
-337.21374754943906,1205.732511158119,0.0
-365.35735792649047,1205.605268530697,0.0
-392.7793238395969,1203.265334522735,0.0
-423.6983174560467,1198.5642653962761,0.0
-452.54652499995956,1195.460039152485,0.0
-485.91153569097656,1201.7296043546721,0.0
-520.570831432093,1208.9334439753495,0.0
-553.7912923618723,1136.2267399177715,0.0
-583.8570117868047,1135.1489945321641,0.0
-615.3171659226969,1131.8007102934953,0.0
-646.67853528697,1127.1677435054196,0.0
-679.4741156885251,1125.266713321467,0.0
-712.9627749526753,1124.5338285404227,0.0
-745.5496585153497,1119.7558971435003,0.0
-779.7251711673154,1115.5042166877276,0.0
-815.4082449145625,1112.7127410636374,0.0
-852.5599975283163,1107.9465016933432,0.0
-888.5963230253864,1104.0806751346404,0.0
-927.145085389174,1098.2210857285074,0.0
-967.0203303523956,1097.8345415795332,0.0
-1009.2897990459064,1093.0389581537675,0.0
-1049.679577711133,1087.5684043480562,0.0
-1092.0875613647072,1082.598642532165,0.0
-1139.6964310870792,1077.9928605827474,0.0
-1191.111561682353,1078.3778605510342,0.0
-1241.4762801822562,1075.0449796379814,0.0
-1291.595287341319,1067.6702094831044,0.0
-1345.957907220945,1064.0466975135134,0.0
-1404.7314759530886,1060.344038728307,0.0
-1462.456315500952,1052.8178974786567,0.0
-1525.0455120450401,1048.1347414294032,0.0
-1593.8451081758656,1042.4864608923529,0.0
-1662.3157960324404,1035.5812108478187,0.0
-1733.8825683003624,1027.0753632738636,0.0
-1773.1357132285907,995.5460775239573,0.0
-1770.494570463933,942.0080816838743,0.0
-1760.804806777722,885.1112895723729,0.0
