1005597.0	-7413.88	1518.45	1498.37
1005642.0	-7413.85	1518.31	1498.33
5.0	0.0	0.0	0.0
27.0	-0.28	0.07	0.07
51.0	-0.7	0.15	0.08
73.0	-1.03	0.19	0.1
98.0	-1.25	0.23	0.16
129.0	-1.24	0.13	0.21
159.0	-1.44	0.17	0.23
191.0	-1.7	0.21	0.25
222.0	-1.92	0.19	0.21
253.0	-2.01	0.22	0.22
284.0	-2.05	0.16	0.29
315.0	-2.44	0.11	0.39
347.0	-2.81	0.13	0.47
377.0	-3.06	0.14	0.54
409.0	-2.98	0.13	0.54
440.0	-3.28	0.29	0.6
472.0	-3.83	0.27	0.63
502.0	-4.05	0.58	0.61
534.0	-4.15	0.59	0.68
565.0	-4.34	0.55	0.76
596.0	-4.72	0.4	0.74
627.0	-5.07	0.3	0.71
659.0	-5.3	0.2	0.65
690.0	-5.35	0.08	0.68
721.0	-5.51	0.03	0.8
752.0	-5.84	-0.04	0.85
785.0	-6.1	0.08	0.83
816.0	-6.05	-0.04	0.75
847.0	-5.96	-0.13	0.73
880.0	-6.48	-0.07	0.78
912.0	-6.76	-0.05	0.83
945.0	-6.92	-0.08	0.76
976.0	-7.0	-0.31	0.61
1009.0	-7.41	-0.26	0.57
1042.0	-7.83	-0.19	0.61
1076.0	-8.23	-0.28	0.59
1108.0	-8.48	-0.27	0.67
1142.0	-8.88	-0.26	0.73
1175.0	-9.45	-0.13	0.81
1209.0	-9.79	-0.2	0.93
1242.0	-9.94	-0.26	1.01
1275.0	-10.35	-0.26	1.09
1309.0	-10.73	-0.15	1.14
1344.0	-11.0	0.02	1.21
1377.0	-11.0	0.13	1.23
1411.0	-11.15	0.24	1.31
1443.0	-11.68	0.36	1.32
1477.0	-11.71	0.64	1.37
1510.0	-11.57	0.62	1.47
1544.0	-12.17	0.95	1.57
1576.0	-12.53	0.92	1.57
1610.0	-12.54	1.31	1.68
1643.0	-12.76	1.56	1.8
1677.0	-12.85	1.57	1.93
1710.0	-13.29	1.83	2.21
1743.0	-13.95	2.04	2.4
1776.0	-14.27	2.19	2.57
1810.0	-14.28	2.28	2.82
1843.0	-14.73	2.46	3.17
1876.0	-15.45	2.52	3.61
1909.0	-15.91	2.52	3.97
1943.0	-15.96	2.43	4.23
